%time,field.time_val,field.id_val,field.position_val,field.speed_val,field.voltage_val,field.current_val
1680087047471795305,1703378,5,1347,0,74,0
1680087047472867055,1703380,6,3763,0,74,0
1680087047473968138,1703382,7,2619,0,73,0
1680087047475084096,1703384,8,2999,0,72,0
1680087047476200305,1703386,9,3210,0,72,0
1680087047481952513,1703388,10,3121,0,72,0
1680087047483017846,1703390,11,1010,0,73,0
1680087047484155346,1703392,12,1591,0,72,0
1680087047485249763,1703394,13,1876,0,72,0
1680087047486453638,1703396,14,2885,0,73,0
1680087047491933138,1703398,15,1227,0,74,0
1680087047493084805,1703401,16,1111,0,72,0
1680087047505062930,1703420,1,2081,0,74,0
1680087047514084846,1703423,2,3121,0,73,0
1680087047515243846,1703425,3,3035,0,73,0
1680087047516370430,1703427,4,2096,0,73,0
1680087047524000596,1703429,5,1346,0,74,0
1680087047525092763,1703432,6,3763,0,73,0
1680087047526207471,1703434,7,2620,0,73,0
1680087047527334055,1703436,8,2999,0,72,0
1680087047528445596,1703438,9,3210,0,73,0
1680087047537292680,1703440,10,3121,0,73,0
1680087047538362346,1703442,11,1010,0,73,0
1680087047539566180,1703444,12,1591,0,73,0
1680087047540685971,1703446,13,1876,0,72,0
1680087047542108263,1703448,14,2885,0,73,0
1680087047543178805,1703450,15,1227,0,74,0
1680087047546544555,1703452,16,1111,0,73,0
1680087047558539680,1703473,1,2081,0,74,0
1680087047562885763,1703476,2,3121,0,73,0
1680087047567473513,1703478,3,3035,0,73,0
1680087047568587180,1703481,4,2096,0,73,0
1680087047577469013,1703483,5,1347,0,74,0
1680087047578551180,1703485,6,3763,0,73,0
1680087047579726013,1703487,7,2620,0,73,0
1680087047580769430,1703489,8,2999,0,72,0
1680087047582188763,1703491,9,3210,0,73,0
1680087047587624971,1703493,10,3121,0,73,0
1680087047588749138,1703495,11,1010,0,73,0
1680087047589853471,1703497,12,1591,0,72,0
1680087047591072971,1703499,13,1876,0,72,0
1680087047592125305,1703501,14,2885,0,73,0
